Company Name,Industry,Symbol,Series,Yfinanance
TCI Express Ltd.,Services,TCIEXP,EQ,TCIEXP.NS
TCNS Clothing Co. Ltd.,Textiles,TCNSBRANDS,EQ,TCNSBRANDS.NS
TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG,EQ,TTKPRESTIG.NS
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,TVSMOTOR.NS
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,TANLA.NS
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,TATACHEM.NS
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,TATACOMM.NS
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,TCS.NS
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,TATACONSUM.NS
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,TATAELXSI.NS
Tata Motors Ltd DVR,Automobile and Auto Components,TATAMTRDVR,EQ,TATAMTRDVR.NS
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,TATAMOTORS.NS
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,TATAPOWER.NS
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,TATASTEEL.NS
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,TTML.NS
Teamlease Services Ltd.,Services,TEAMLEASE,EQ,TEAMLEASE.NS
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,TECHM.NS
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,TEJASNET.NS
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,RAMCOCEM.NS
Titan Company Ltd.,Consumer Durables,TITAN,EQ,TITAN.NS
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,TORNTPHARM.NS
Torrent Power Ltd.,Power,TORNTPOWER,EQ,TORNTPOWER.NS
Transport Corporation of India Ltd.,Services,TCI,EQ,TCI.NS
Trent Ltd.,Consumer Services,TRENT,EQ,TRENT.NS
Trident Ltd.,Textiles,TRIDENT,EQ,TRIDENT.NS
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,EQ,TRIVENI.NS
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,TIINDIA.NS
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,UNOMINDA.NS
UPL Ltd.,Chemicals,UPL,EQ,UPL.NS
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,ULTRACEMCO.NS
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,UBL.NS
United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N,EQ,MCDOWELL-N.NS
V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ,VGUARD.NS
V-Mart Retail Ltd.,Consumer Services,VMART,EQ,VMART.NS
V.I.P. Industries Ltd.,Consumer Durables,VIPIND,EQ,VIPIND.NS
Vaibhav Global Ltd.,Consumer Durables,VAIBHAVGBL,EQ,VAIBHAVGBL.NS
Vardhman Textiles Ltd.,Textiles,VTL,EQ,VTL.NS
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC,EQ,VARROC.NS
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,VBL.NS
Vedant Fashions Ltd.,Consumer Services,MANYAVAR,EQ,MANYAVAR.NS
Vedanta Ltd.,Metals & Mining,VEDL,EQ,VEDL.NS
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ,VIJAYA.NS
Vinati Organics Ltd.,Chemicals,VINATIORGA,EQ,VINATIORGA.NS
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,IDEA.NS
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,VOLTAS.NS
Welspun India Ltd.,Textiles,WELSPUNIND,EQ,WELSPUNIND.NS
Westlife Development Ltd.,Consumer Services,WESTLIFE,EQ,WESTLIFE.NS
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,WHIRLPOOL.NS
Wipro Ltd.,Information Technology,WIPRO,EQ,WIPRO.NS
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA,EQ,ZFCVINDIA.NS
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,ZENSARTECH.NS
Zomato Ltd.,Consumer Services,ZOMATO,EQ,ZOMATO.NS
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,ZYDUSLIFE.NS
Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL,EQ,ZYDUSWELL.NS
eClerx Services Ltd.,Services,ECLERX,EQ,ECLERX.NS
